Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,FT,FTA,FT%,TRB,AST,PF,PTS,HoF
Ron Johnson,28.0,7.36,0.93,3.07,0.3,0.93,3.07,0.3,0.79,1.21,0.65,2.07,0.14,0.71,2.64,No
Ron Knight,101.0,11.34,2.09,4.82,0.43,2.09,4.82,0.43,0.5,0.99,0.5,2.8,0.82,1.5,4.67,No
Ron Lee,284.0,22.78,4.23,9.68,0.44,4.23,9.68,0.44,1.79,2.54,0.71,3.13,3.44,3.16,10.24,No
Ron Livingstone,171.0,0.0,2.51,8.84,0.28,2.51,8.84,0.28,1.87,2.71,0.69,1.74,2.09,4.33,6.9,No
Ron Reed,119.0,18.87,3.44,9.45,0.36,3.44,9.45,0.36,1.12,1.96,0.57,6.4,1.45,2.34,7.99,No
Ron Riley,312.0,17.45,2.39,5.73,0.42,2.39,5.73,0.42,0.76,1.11,0.68,4.95,1.14,2.4,5.54,No
Ron Shavlik,8.0,9.25,0.5,2.88,0.17,0.5,2.88,0.17,0.25,0.62,0.4,2.88,0.0,1.5,1.25,No
Ron Sobie,208.0,19.72,2.89,7.68,0.38,2.89,7.68,0.38,2.51,3.1,0.81,4.03,1.8,2.18,8.29,No
Ron Watts,28.0,3.29,0.43,1.64,0.26,0.43,1.64,0.26,0.57,0.82,0.7,1.39,0.07,0.61,1.43,No
Ron Williams,516.0,22.24,3.6,8.17,0.44,3.6,8.17,0.44,2.09,2.52,0.83,1.88,3.52,2.53,9.3,No
Ronnie MacGilvray,6.0,9.5,0.33,2.0,0.17,0.33,2.0,0.17,0.67,1.17,0.57,1.5,1.83,0.83,1.33,No
Rowland Garrett,380.0,10.64,2.04,4.66,0.44,2.04,4.66,0.44,0.81,1.03,0.78,2.2,0.39,1.29,4.89,No
Rudy Hackett,12.0,7.67,0.5,1.67,0.3,0.5,1.67,0.3,1.33,2.33,0.57,2.17,0.5,1.33,2.33,No
Rudy LaRusso,736.0,33.27,5.57,12.94,0.43,5.57,12.94,0.43,4.49,5.85,0.77,9.42,2.11,3.47,15.63,No
Rudy Tomjanovich,654.0,34.58,7.64,15.14,0.5,7.64,15.14,0.5,2.91,3.73,0.78,8.61,2.11,2.53,18.2,Yes
Rudy White,99.0,8.8,1.21,2.96,0.41,1.21,2.96,0.41,0.47,0.69,0.69,1.01,0.88,0.96,2.9,No
Russ Lee,97.0,6.0,1.2,3.06,0.39,1.2,3.06,0.39,0.52,0.75,0.68,1.18,0.67,0.85,2.91,No
Sam Jones,871.0,27.88,7.2,15.78,0.46,7.2,15.78,0.46,3.29,4.1,0.8,4.94,2.54,1.99,17.69,Yes
Sam Lacey,723.0,35.04,4.92,11.15,0.44,4.92,11.15,0.44,2.02,2.76,0.73,11.23,3.73,3.48,11.87,No
Sam Ranzino,39.0,6.0,0.77,2.31,0.33,0.77,2.31,0.33,0.67,0.95,0.7,1.0,0.64,1.62,2.21,No
Sam Sibert,5.0,5.2,0.8,2.6,0.31,0.8,2.6,0.31,0.8,1.0,0.8,0.8,0.0,0.8,2.4,No
Sam Smith,16.0,7.81,1.19,2.94,0.4,1.19,2.94,0.4,1.12,1.5,0.75,0.56,1.0,0.75,3.5,No
Sam Stith,32.0,13.75,1.84,5.06,0.36,1.84,5.06,0.36,0.72,1.19,0.61,1.59,1.88,1.72,4.41,No
Sam Williams,66.0,10.18,1.35,3.82,0.35,1.35,3.82,0.35,1.17,2.2,0.53,1.76,0.97,1.68,3.86,No
Scott English,29.0,6.76,1.24,3.21,0.39,1.24,3.21,0.39,0.72,1.0,0.72,1.52,0.52,1.31,3.21,No
Scott Lloyd,353.0,9.56,1.12,2.7,0.42,1.12,2.7,0.42,0.7,1.01,0.69,1.96,0.52,1.56,2.95,No
Scott May,164.0,27.89,4.7,10.41,0.45,4.7,10.41,0.45,2.4,2.95,0.81,5.08,1.82,2.48,11.79,No
Scott Sims,12.0,7.92,0.83,2.17,0.38,0.83,2.17,0.38,0.83,1.25,0.67,1.08,1.67,1.33,2.5,No
Scott Wedman,397.0,34.57,6.55,13.51,0.49,6.55,13.51,0.49,2.45,2.97,0.82,6.17,2.27,3.17,15.56,No
