Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HoF
Aaron Holiday,116.0,33.0,19.51,2.91,7.11,0.41,1.12,3.0,0.37,1.79,4.11,0.44,0.49,0.99,1.18,0.84,0.23,1.69,1.92,2.69,0.66,0.25,1.1,1.65,7.94,No
Aaron Jackson,1.0,0.0,35.0,3.0,9.0,0.33,1.0,4.0,0.25,2.0,5.0,0.4,0.39,1.0,2.0,0.5,2.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,8.0,No
Aaron McKie,957.0,330.0,23.61,2.67,6.19,0.43,0.46,1.33,0.35,2.21,4.86,0.45,0.47,1.14,1.45,0.78,0.61,2.57,3.18,2.57,1.14,0.21,1.28,1.97,6.93,No
Aaron Miles,19.0,0.0,6.21,0.32,0.95,0.33,0.0,0.0,0.0,0.32,0.95,0.33,0.33,0.21,0.21,1.0,0.0,0.74,0.74,1.26,0.21,0.05,0.58,0.68,0.84,No
Aaron Swinson,9.0,0.0,5.67,1.11,2.0,0.56,0.0,0.0,0.0,1.11,2.0,0.56,0.56,0.44,0.56,0.8,0.33,0.56,0.89,0.33,0.11,0.0,0.56,0.89,2.67,No
Aaron Williams,838.0,88.0,16.31,2.12,4.27,0.5,0.0,0.02,0.06,2.12,4.25,0.5,0.5,1.27,1.72,0.74,1.38,2.4,3.79,0.63,0.38,0.71,0.89,2.42,5.51,No
Abdel Nader,164.0,8.0,12.7,1.61,3.82,0.42,0.63,1.79,0.35,0.98,2.04,0.48,0.5,0.62,0.86,0.72,0.25,1.5,1.75,0.51,0.35,0.26,0.63,1.16,4.46,No
Abdul Jeelani,143.0,0.0,16.74,3.32,7.03,0.47,0.0,0.05,0.0,3.32,6.98,0.48,0.47,2.38,2.97,0.8,1.38,2.12,3.5,1.12,0.59,0.5,1.43,1.94,9.02,No
Acie Earl,240.0,18.0,12.55,1.78,4.48,0.4,0.0,0.06,0.0,1.78,4.42,0.4,0.4,1.3,1.96,0.66,0.94,1.62,2.55,0.34,0.32,0.64,0.85,1.72,4.87,No
Acie Law,265.0,9.0,12.62,1.43,3.39,0.42,0.14,0.63,0.23,1.29,2.76,0.47,0.44,0.97,1.26,0.77,0.18,0.86,1.04,1.58,0.48,0.02,0.77,1.02,3.97,No
Adam Harrington,38.0,0.0,5.84,0.58,1.95,0.3,0.26,0.74,0.36,0.32,1.21,0.26,0.36,0.16,0.21,0.75,0.05,0.37,0.42,0.63,0.11,0.05,0.11,0.42,1.58,No
Adam Keefe,617.0,98.0,16.75,1.82,3.61,0.5,0.0,0.02,0.07,1.81,3.59,0.5,0.5,1.4,1.97,0.71,1.62,2.52,4.14,0.69,0.5,0.28,0.88,1.81,5.04,No
Adam Mokoka,11.0,0.0,10.18,1.09,2.55,0.43,0.55,1.36,0.4,0.55,1.18,0.46,0.54,0.18,0.36,0.5,0.64,0.27,0.91,0.36,0.36,0.0,0.18,1.55,2.91,No
Adam Morrison,213.0,33.0,18.73,2.57,6.92,0.37,0.73,2.21,0.33,1.84,4.71,0.39,0.42,0.75,1.05,0.71,0.47,1.51,1.98,1.23,0.23,0.08,0.96,1.64,6.62,No
Admiral Schofield,33.0,2.0,11.15,1.06,2.79,0.38,0.58,1.85,0.31,0.48,0.94,0.52,0.48,0.3,0.45,0.67,0.21,1.21,1.42,0.45,0.24,0.12,0.21,1.52,3.0,No
Adonal Foyle,743.0,269.0,17.66,1.78,3.74,0.48,0.0,0.0,0.0,1.78,3.73,0.48,0.48,0.48,0.96,0.5,1.76,2.93,4.69,0.46,0.36,1.62,0.81,2.13,4.05,No
Adonis Jordan,10.0,0.0,9.7,0.8,2.7,0.3,0.3,1.2,0.25,0.5,1.5,0.33,0.35,0.2,0.4,0.5,0.3,0.3,0.6,2.2,0.3,0.1,0.8,0.6,2.1,No
